OGLE-GD-RRLYR-00143  RRab  06:35:04.92 -05:27:46.4  GD2416.21.121                                    
OGLE-GD-RRLYR-00144  RRd   06:35:07.25 -02:24:39.4  GD2413.04.558                                    
OGLE-GD-RRLYR-00145  RRab  06:35:10.55 -04:20:48.1  GD2415.21.267                                    
OGLE-GD-RRLYR-00146  RRab  06:35:37.92 +09:43:33.5  GD1775.28.3711                                   
OGLE-GD-RRLYR-00147  RRab  06:35:54.96 -06:10:15.6  GD2416.03.253                                    
OGLE-GD-RRLYR-00148  RRc   06:36:50.12 +14:28:25.7  GD1793.26.175                                    
OGLE-GD-RRLYR-00149  RRc   06:36:59.85 +09:21:20.5  GD1775.18.4056                                   
OGLE-GD-RRLYR-00150  RRab  06:37:09.32 +10:39:10.5  GD1779.18.2289                                   
OGLE-GD-RRLYR-00151  RRab  06:37:30.57 +06:20:38.0  GD1760.25.3889                                   
OGLE-GD-RRLYR-00152  RRab  06:37:37.47 -03:54:46.2  GD2406.16.508                                    
OGLE-GD-RRLYR-00153  RRab  06:37:46.11 -10:00:48.8  GD2411.16.4163                                   
OGLE-GD-RRLYR-00154  RRab  06:39:14.12 -06:54:06.6  GD2409.30.7031                                   
OGLE-GD-RRLYR-00155  RRab  06:39:15.90 +07:35:35.6  GD1764.22.3418                                   
OGLE-GD-RRLYR-00156  RRab  06:39:23.34 -09:07:30.3  GD2410.05.5159                                   
OGLE-GD-RRLYR-00157  RRd   06:39:40.03 -02:04:21.6  GD2405.30.103                                    
OGLE-GD-RRLYR-00158  RRab  06:39:53.47 +06:19:30.7  GD1760.21.3520                                   
OGLE-GD-RRLYR-00159  RRab  06:40:27.02 -04:13:02.7  GD2406.04.4818                                   
OGLE-GD-RRLYR-00160  RRab  06:40:27.92 -00:53:55.5  GD1732.29.149                                    
OGLE-GD-RRLYR-00161  RRab  06:41:04.19 +12:14:14.2  GD1783.10.3891                                   
OGLE-GD-RRLYR-00162  RRab  06:41:21.81 -08:20:54.1  GD2410.27.224                                    
OGLE-GD-RRLYR-00163  RRab  06:41:49.86 -06:28:30.8  GD2408.09.64                                     
OGLE-GD-RRLYR-00164  RRab  06:41:55.72 -08:03:17.5  GD2409.01.136                                    
OGLE-GD-RRLYR-00165  RRab  06:42:36.06 +05:35:14.4  GD1754.25.603                                    
OGLE-GD-RRLYR-00166  RRab  06:42:42.63 +04:14:20.4  GD1750.16.3048                                   
OGLE-GD-RRLYR-00167  RRab  06:42:45.37 -04:01:35.1  GD2406.08.256                                    
OGLE-GD-RRLYR-00168  RRab  06:43:46.86 +06:10:49.1  GD1759.06.777                                    
OGLE-GD-RRLYR-00169  RRab  06:43:50.37 -03:41:36.1  GD1722.06.590                                    
OGLE-GD-RRLYR-00170  RRc   06:43:55.03 -06:14:40.4  GD2400.31.6133                                   
OGLE-GD-RRLYR-00171  RRab  06:44:00.87 -04:11:38.8  GD1717.23.4214                                   
OGLE-GD-RRLYR-00172  RRab  06:44:23.37 -01:43:57.8  GD1727.22.4519                                   
OGLE-GD-RRLYR-00173  RRc   06:44:27.34 -10:20:05.9  GD2403.22.4901                                   
OGLE-GD-RRLYR-00174  RRc   06:44:29.07 +10:04:14.3  GD1773.05.3682                                   
OGLE-GD-RRLYR-00175  RRab  06:44:42.37 -11:34:46.8  GD2404.21.4577                                   
OGLE-GD-RRLYR-00176  RRab  06:45:02.91 +07:25:13.7  GD1763.04.297                                    
OGLE-GD-RRLYR-00177  RRab  06:45:13.75 +10:57:24.8  GD1773.29.4634                                   
OGLE-GD-RRLYR-00178  RRab  06:45:18.20 -09:03:05.3  GD2402.20.5069                                   DU Mon
OGLE-GD-RRLYR-00179  RRab  06:45:19.44 -08:50:19.0  GD2402.28.38                                     DV Mon
OGLE-GD-RRLYR-00180  RRab  06:45:27.41 +09:04:57.0  GD1768.11.4998                                   
OGLE-GD-RRLYR-00181  RRab  06:45:28.06 -03:30:25.5  GD1722.04.2929                                   
OGLE-GD-RRLYR-00182  RRab  06:45:29.29 -08:12:25.6  GD2401.11.5512                                   
OGLE-GD-RRLYR-00183  RRab  06:46:38.06 +03:26:08.5  GD1745.27.927                                    
OGLE-GD-RRLYR-00184  RRc   06:46:39.07 -04:16:38.9  GD1717.19.803                                    
OGLE-GD-RRLYR-00185  RRc   06:46:58.70 -00:49:47.9  GD1731.09.441                                    
OGLE-GD-RRLYR-00186  RRab  06:47:08.49 +01:19:43.8  GD1740.01.3684                                   
OGLE-GD-RRLYR-00187  RRab  06:47:30.07 -07:37:17.1  GD2393.16.650                                    
OGLE-GD-RRLYR-00188  RRc   06:47:41.40 +10:24:07.2  GD1773.08.4280                                   
OGLE-GD-RRLYR-00189  RRab  06:47:55.99 -07:24:49.9  GD2393.24.22                                     
OGLE-GD-RRLYR-00190  RRc   06:48:38.44 -12:40:59.2  GD2397.14.27                                     
OGLE-GD-RRLYR-00191  RRab  06:48:48.75 -11:07:08.6  GD2396.22.651                                    
OGLE-GD-RRLYR-00192  RRc   06:49:29.50 -09:52:17.6  GD2395.22.204                                    
OGLE-GD-RRLYR-00193  RRab  06:50:11.46 -05:15:46.0  GD1712.12.100                                    
OGLE-GD-RRLYR-00194  RRab  06:50:11.62 +03:55:18.5  GD1744.21.5299                                   
OGLE-GD-RRLYR-00195  RRab  06:50:17.48 -06:33:45.7  GD1707.04.6233                                   
OGLE-GD-RRLYR-00196  RRc   06:50:45.01 -12:08:42.8  GD2397.19.4240                                   
OGLE-GD-RRLYR-00197  RRab  06:50:49.18 +03:52:27.8  GD1744.20.4662                                   
OGLE-GD-RRLYR-00198  RRab  06:50:50.55 -10:36:02.1  GD2396.27.6539                                   
OGLE-GD-RRLYR-00199  RRab  06:50:59.34 -11:20:20.5  GD2396.10.864                                    
OGLE-GD-RRLYR-00200  RRab  06:51:02.30 -13:00:32.4  GD2398.27.7702                                   
OGLE-GD-RRLYR-00201  RRab  06:51:08.39 -16:32:17.4  GD2392.25.2781                                   
OGLE-GD-RRLYR-00202  RRc   06:51:08.39 +00:48:23.1  GD1735.02.4322                                   
OGLE-GD-RRLYR-00203  RRc   06:51:09.13 +00:37:26.3  GD1735.02.25                                     
OGLE-GD-RRLYR-00204  RRab  06:51:13.78 -11:01:22.3  GD2396.19.143                                    
OGLE-GD-RRLYR-00205  RRab  06:51:18.95 -09:09:11.6  GD2394.02.5105                                   
OGLE-GD-RRLYR-00206  RRab  06:51:26.75 -12:44:09.1  GD2397.01.4837                                   
OGLE-GD-RRLYR-00207  RRab  06:51:41.83 -16:59:04.2  GD2392.16.42                                     
OGLE-GD-RRLYR-00208  RRd   06:51:51.20 -09:14:30.4  GD2394.01.327                                    
OGLE-GD-RRLYR-00209  RRab  06:52:14.29 -03:51:00.4  GD1716.09.3318                                   
OGLE-GD-RRLYR-00210  RRab  06:52:25.45 +05:38:50.2  GD1748.25.4647                                   
OGLE-GD-RRLYR-00211  RRab  06:52:42.27 -14:45:44.0  GD2390.07.146                                    
OGLE-GD-RRLYR-00212  RRab  06:53:19.21 +01:41:47.6  GD1734.15.4053                                   
OGLE-GD-RRLYR-00213  RRc   06:53:37.69 -10:58:14.3  GD2387.06.3851                                   
OGLE-GD-RRLYR-00214  RRc   06:53:38.73 -10:57:17.8  GD2387.06.3856                                   
OGLE-GD-RRLYR-00215  RRab  06:53:45.32 -01:43:02.7  GD1720.23.3674                                   
OGLE-GD-RRLYR-00216  RRc   06:53:56.06 -11:23:46.0  GD2388.30.108                                    
OGLE-GD-RRLYR-00217  RRab  06:54:13.47 -10:15:31.5  GD2387.22.4594                                   
OGLE-GD-RRLYR-00218  RRc   06:54:30.25 +00:41:41.6  GD1729.22.126                                    
OGLE-GD-RRLYR-00219  RRc   06:54:30.70 -17:14:33.8  GD2392.03.384                                    
OGLE-GD-RRLYR-00220  RRab  06:54:41.93 -03:11:22.0  GD1715.13.4010                                   
OGLE-GD-RRLYR-00221  RRab  06:55:13.84 -07:47:11.3  GD1701.20.3732                                   
OGLE-GD-RRLYR-00222  RRab  06:55:14.66 +04:03:43.4  GD1743.12.515                                    
OGLE-GD-RRLYR-00223  RRab  06:55:17.38 -14:50:56.6  GD2391.27.4408                                   
OGLE-GD-RRLYR-00224  RRab  06:55:19.52 -08:28:33.6  GD1701.03.4402                                   
OGLE-GD-RRLYR-00225  RRab  06:55:19.60 -10:38:41.6  GD2387.11.5001                                   
OGLE-GD-RRLYR-00226  RRab  06:55:26.96 +02:13:47.8  GD1734.28.283                                    
OGLE-GD-RRLYR-00227  RRc   06:55:52.34 +01:06:11.5  GD1729.28.4298                                   
OGLE-GD-RRLYR-00228  RRab  06:56:15.23 -08:13:34.8  GD1701.10.385                                    
OGLE-GD-RRLYR-00229  RRab  06:56:43.78 -09:13:43.5  GD1702.18.733                                    
OGLE-GD-RRLYR-00230  RRab  06:57:05.10 -01:33:45.7  GD1720.26.346                                    
OGLE-GD-RRLYR-00231  RRab  06:57:05.84 +02:53:50.0  GD1738.09.4489                                   
OGLE-GD-RRLYR-00232  RRc   06:57:08.10 -13:12:51.1  GD2389.08.134                                    
OGLE-GD-RRLYR-00233  RRab  06:57:09.26 -08:35:48.5  GD1697.25.337                                    
OGLE-GD-RRLYR-00234  RRc   06:57:20.30 -06:46:30.5  GD1700.17.118                                    
OGLE-GD-RRLYR-00235  RRab  06:57:24.17 -07:14:10.9  GD1696.25.3520                                   
OGLE-GD-RRLYR-00236  RRab  06:57:26.78 +02:01:35.1  GD1734.17.4384                                   
OGLE-GD-RRLYR-00237  RRab  06:57:38.03 -06:01:31.4  GD1695.25.5639                                   
OGLE-GD-RRLYR-00238  RRc   06:57:38.18 -16:50:11.0  GD2385.31.5119                                   
OGLE-GD-RRLYR-00239  RRab  06:57:45.03 +00:05:37.4  GD1724.25.3678                                   
OGLE-GD-RRLYR-00240  RRab  06:57:53.42 -06:38:30.9  GD1695.07.6888                                   
OGLE-GD-RRLYR-00241  RRab  06:58:08.10 +02:39:55.2  GD1733.24.3525                                   
OGLE-GD-RRLYR-00242  RRab  06:58:09.71 +02:22:29.0  GD1733.15.3077                                   
OGLE-GD-RRLYR-00243  RRab  06:58:13.92 -15:02:07.4  GD2383.14.116                                    
